Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AUS,20698.7127,21853.44999,19681.64503,20290.78042,23705.90722,30819.99349,34460.543,36570.76307,41023.75486,49681.21907,42810.46584,52132.46961,62598.68662,68047.37818,68156.3861,62515.31483,56708.9612,49876.71238,53934.15437,57206.99067,54941.06572
AZE,573.8932966,655.0974326,703.6712504,763.1087646,883.6925807,1045.014165,1578.36733,2472.957257,3851.331012,5574.470962,4950.397437,5843.533768,7189.815151,7495.861942,7875.344611,7890.83525,5500.50462,3880.686267,4147.198619,4739.795242,4805.753718
CZE,6337.409954,6028.582612,6637.106512,8060.888811,9818.568493,11749.87552,13430.66055,15261.80885,18466.57826,22804.6222,19861.69743,19960.06849,21871.26608,19870.80121,20133.16914,19890.91991,17829.69832,18575.23203,20636.19995,23424.48046,23664.84786
FIN,26186.19001,24345.91482,24967.79252,26997.75299,32927.68029,37772.17811,39054.85044,41222.602,48476.39273,53772.79424,47481.48454,46505.30318,51148.93164,47708.06128,49892.22336,50327.24029,42801.90812,43814.02651,46412.13648,49987.62616,48629.85823
FRA,24678.39106,22416.42542,22449.33969,24288.27002,29627.92426,33797.16244,34768.1759,36470.21284,41557.62356,45515.96175,41737.76355,40676.06479,43846.46608,40870.85236,42602.71797,43068.54872,36652.92231,37062.53357,38781.04949,41557.85486,40494.89829
DEU,26734.94254,23694.76048,23628.32721,25197.2656,30310.3576,34106.65812,34520.23965,36353.88033,41640.08087,45612.71062,41650.36783,41572.45595,46705.8958,43855.85447,46298.92292,48023.86998,41103.25644,42136.12079,44652.58917,47939.27829,46793.68676
HUN,4793.477848,4624.282203,5276.033189,6655.333009,8419.432122,10301.7017,11223.3993,11489.56087,13940.90675,15772.32703,13077.30762,13217.5046,14234.47158,12984.83657,13715.07036,14294.25842,12717.0386,13104.69955,14621.2396,16425.20503,16786.21364
ITA,22005.05454,20137.59122,20500.9544,22376.2979,27526.32246,31317.20079,32055.09208,33529.7266,37870.74751,40944.91242,37226.75719,36035.645,38649.63948,35051.52127,35560.08141,35565.72138,30242.38614,30960.73151,32406.72032,34622.16967,33673.75096
JPN,36610.16671,39169.36018,34406.16902,32820.78863,35387.04836,38298.98017,37812.89102,35991.54239,35779.01568,39876.3063,41309.00165,44968.15623,48760.07895,49145.28043,40898.6479,38475.39525,34960.63938,39375.47316,38834.05293,39751.1331,40415.95676
NOR,36393.42496,38178.05615,38602.09441,43170.67163,50250.21153,57768.41243,67047.17046,74434.11281,85502.75393,97503.54078,80347.14416,88163.20859,101221.8135,102175.9193,103553.8401,97666.69518,74809.9658,70867.361,76131.8384,82792.84271,76430.58895
POL,4398.071805,4501.479961,4991.244358,5207.128879,5701.638863,6681.31036,8021.547064,9035.531788,11254.31409,13995.7831,11525.90197,12504.25019,13776.3894,13010.75692,13558.34256,14181.95018,12560.05142,12378.81176,13815.49995,15504.50894,15700.01358
RUS,1330.757202,1771.594116,2100.352539,2377.529541,2975.123047,4102.364746,5323.455078,6920.199707,9101.239258,11635.28418,8562.824219,10674.99023,14311.06445,15420.8584,15974.62305,14095.64648,9313.021484,8704.894531,10720.33203,11287.35449,11536.25879
ESP,15720.6405,14749.68742,15369.00116,17106.68658,21510.83625,24907.00085,26429.15094,28389.07858,32591.35031,35510.72223,32169.50285,30532.48051,31677.90031,28322.94659,29077.18206,29513.65118,25754.36103,26537.15949,28185.32137,30379.72111,29581.51855
SWE,30940.97326,29624.76987,27247.76321,29899.1236,37321.77867,42821.75084,43437.13093,46593.29168,53700.24369,56152.55944,46946.84271,52869.04429,60755.75955,58037.82132,61126.9432,60020.36046,51545.48361,51965.15715,53791.50873,54589.06039,51939.42974
CHE,41696.94037,38864.0439,39638.43879,42458.53416,49337.54689,54659.6403,56243.9473,59008.99301,64991.00515,74175.87764,71565.56998,76531.37294,90476.75897,85836.20768,87304.33058,88724.99094,83806.4476,82153.07454,82254.37693,85216.64295,84121.93103
TUR,4057.822081,4278.266534,3100.458788,3640.76183,4704.77201,6031.79031,7369.431295,8003.812177,9668.399443,10802.60048,8989.735883,10614.98457,11308.37174,11697.47436,12507.80316,12020.34966,10851.92011,10734.25647,10464.00779,9400.836337,9103.012397
GBR,28788.96929,28289.65269,27888.60511,30078.60813,34480.94106,40392.26486,42131.82707,44537.71234,50438.2296,47432.8791,38820.01459,39693.19387,42150.69814,42485.58607,43449.09172,47447.58893,45071.07432,41146.07736,40622.68939,43306.3083,42747.08046
